ShiptypeLevel4,trozzi_2010_types
Bitumen Tanker,Liquid bulk ships
Bulk Carrier,Dry bulk carriers
Bulk/Oil Carrier,Dry bulk carriers
Cable Layer,Others
Cement Carrier,Dry bulk carriers
Chemical Tanker,Liquid bulk ships
Chemical/Oil Products Tanker,Liquid bulk ships
Container Ship,Container
Crude Oil Tanker,Liquid bulk ships
Fish Carrier,Fishing
Fishing Support Vessel,Fishing
Fishing Vessel,Fishing
"FPSO (Floating, Production, Storage, Offloading)",Others
General Cargo Ship,General cargo
Heavy Load Carrier,General cargo
Hopper Dredger,Others
Livestock Carrier,General cargo
LNG Tanker,Liquid bulk ships
LPG Tanker,Liquid bulk ships
Naval/Naval Auxiliary,Others
Offshore Tug/Supply Ship,Tugs
Oil Products Tanker,Liquid bulk ships
Ore Carrier,Dry bulk carriers
Passenger (Cruise) Ship,Passenger
Passenger Ship,Passenger
Passenger/Ro-Ro Cargo Ship,Passenger
Refrigerated Cargo Ship,General cargo
Research Vessel,Others
Ro-Ro Cargo Ship,Ro Ro cargo
Sail Training Ship,Others
Search & Rescue Vessel,Others
Self Discharging Bulk Carrier,Dry bulk carriers
Supply Tender,Others
Training Ship,Others
Tug,Tugs
Utility Vessel,Others
Vegetable Oil Tanker,Liquid bulk ships
Vehicles Carrier,Ro Ro cargo
Wood Chips Carrier,Dry bulk carriers
Yacht,Others
