engine,phase,engine_type,fuel_type,nox_ef_2000_gkwh,nox_ef_2005_gkwh,nmvoc_ef_gkwh,tsp_pm10_pm2_5_ef_gkwh,sfoc
ME,CRU,GT,BFO,6.1,5.9,0.1,0.1,305
ME,CRU,GT,MDO,5.7,5.5,0.1,0,290
ME,CRU,HSD,BFO,12.7,12.3,0.2,0.8,213
ME,CRU,HSD,MDO,12,11.6,0.2,0.3,203
ME,CRU,MSD,BFO,14,13.5,0.5,0.8,213
ME,CRU,MSD,MDO,13.2,12.8,0.5,0.3,203
ME,CRU,SSD,BFO,18.1,17.5,0.6,1.7,195
ME,CRU,SSD,MDO,17,16.4,0.6,0.3,185
ME,CRU,ST,BFO,2.1,2,0.1,0.8,305
ME,CRU,ST,MDO,2,1.9,0.1,0.3,290
ME,CRU,GT,BFO,3.1,3,0.5,1.5,336
ME,MAN_HOT,GT,MDO,2.9,2.8,0.5,0.5,319
ME,MAN_HOT,HSD,BFO,10.2,9.9,0.6,2.4,234
ME,MAN_HOT,HSD,MDO,9.6,9.3,0.6,0.9,223
ME,MAN_HOT,MSD,BFO,11.2,10.8,1.5,2.4,234
ME,MAN_HOT,MSD,MDO,10.6,10.2,1.5,0.9,223
ME,MAN_HOT,SSD,BFO,14.5,14,1.8,2.4,215
ME,MAN_HOT,SSD,MDO,13.6,13.1,1.8,0.9,204
ME,MAN_HOT,ST,BFO,1.7,1.6,0.3,2.4,336
ME,MAN_HOT,ST,MDO,1.6,1.6,0.3,0.9,319
AE,ANY,HSD,BFO,11.6,11.2,0.4,0.8,227
AE,ANY,HSD,MDO,10.9,10.5,0.4,0.3,217
AE,ANY,MSD,BFO,14.7,14.2,0.4,0.8,227
AE,ANY,MSD,MDO,13.9,13.5,0.4,0.3,217
